"STATE","CITY","LAT","LON","NAME"
"AL","Brewton",31.1133,-87.0958,"EscambiaBrewton Career Technical Center"
"AL","Gadsden",34.068314,-85.92684,"Gaston High School"
"AL","Glencoe",33.9677,-85.9353,"Glencoe High School"
"AL","Sardis City",34.1763,-86.1229,"Sardis High School"
"AL","Southside",33.920376,-86.033827,"Southside High School"
"AL","Walnut Grove",34.0638,-86.3025,"West End High School"
"AL","Attalla",33.9963,-86.1049,"Career Technical Center"
"AL","Hokes Bluff",34.013,-85.8694,"Hokes Bluff High School"
"AL","Eufaula",31.919296,-85.139098,"Eufaula High School"
"AL","Eufaula",31.919296,-85.139098,"Hope Academy"
"AL","Fairfield",33.491187,-86.908318,"Fairfield High Preparatory School"
"AL","Fairfield",33.491187,-86.908318,"Fairfield Area Vocational School"
"AL","Berry",33.663,-87.599,"Berry High School"
"AL","Fayette",33.7031,-87.8218,"Fayette County High School"
"AL","Florence",34.8345,-87.6633,"Florence High School"
"AL","Florence",34.7967,-87.6837,"Florence Learning Center"
"AL","Fort Payne",34.487696,-85.674157,"Fort Payne High School"
"AL","Phil Campbell",34.349411,-87.706847,"Phil Campbell High School"
"AL","Red Bay",34.4354,-88.1381,"Red Bay High School"
"AL","Russellville",34.475756,-87.864784,"Franklin County Career Technical Center"
"AL","Russellville",34.525786,-87.619756,"Tharptown High School"
"AL","Gadsden",34.004712,-85.98933,"C I T Y Program"
"AL","Gadsden",34.012556,-86.021729,"Gadsden City Alternative School"
"AL","Gadsden",33.995108,-86.037233,"Gadsden City High School"
"AL","Geneva",31.0439,-85.8813,"Geneva High School"
"AL","Hartford",31.095832,-85.700153,"Geneva County High School"
"AL","Samson",31.117792,-86.049316,"Samson High School"
"AL","Slocomb",31.098483,-85.601606,"Slocomb High School"
"AL","Geneva",31.048206,-85.89415,"Geneva Regional Career Technical Center"
"AL","Eutaw",32.823597,-87.931421,"Greene County High School"
"AL","Eutaw",32.8464,-87.9187,"Peter J Kirksey Career Center"
"AL","Eutaw",32.82487,-87.93291,"Greene County Career Center"
"AL","Guntersville",34.32,-86.3136,"Guntersville High School"
"AL","Moundville",32.99897,-87.62055,"Hale County High School"
"AL","Greensboro",32.722732,-87.592676,"College and Career Academy"
"AL","Greensboro",32.70837,-87.588282,"Greensboro High School"
"AL","Haleyville",34.2253,-87.6069,"Haleyville High School"
"AL","Haleyville",34.2249,-87.6075,"Haleyville Center Of Technology"
"AL","Hartselle",34.455413,-86.921392,"Hartselle High School"
"AL","Abbeville",31.5821,-85.2782,"Abbeville High School"
"AL","Headland",31.3485,-85.3397,"Headland High School"
"AL","Homewood",33.4605,-86.7905,"Homewood High School"
"AL","Ashford",31.183743,-85.23222,"Ashford High School"
"AL","Cottonwood",31.056759,-85.301665,"Cottonwood High School"
"AL","Columbia",31.293671,-85.113249,"Houston County High School"
"AL","Dothan",31.1209,-85.4593,"Rehobeth High School"
"AL","Newton",31.2256,-85.6333,"Wicksburg High School"
"AL","Dothan",31.22592,-85.400933,"Houston County Area Vocational Center"
"AL","Huntsville",34.642713,-86.576568,"Virgil Grissom High School"
"AL","Huntsville",34.7135,-86.5835,"Huntsville High School"
"AL","Huntsville",34.754963,-86.578303,"Lee High School"
"AL","Huntsville",34.754963,-86.578303,"New Century Technology High School"
"AL","Huntsville",34.703326,-86.602294,"Huntsville Center For Technology"
"AL","Huntsville",34.7232,-86.6993,"Columbia High School"
"AL","Huntsville",34.786091,-86.614954,"Jemison High School"
"AL","Hollywood",34.7211,-85.9584,"Epruett Center Of Technology"
"AL","Stevenson",34.899385,-85.790145,"North Jackson High School"
"AL","Jacksonville",33.7881,-85.7784,"Jacksonville High School"
"AL","Jasper",33.834314,-87.257794,"Jasper High School"
"AL","Pinson",33.6954,-86.6023,"ClayChalkville High School"
"AL","Dora",33.761592,-86.967166,"Corner High School"
"AL","Center Point",33.658482,-86.699674,"Center Point High School"
"AL","Warrior",33.627221,-86.775905,"Fultondale High School"
"AL","Gardendale",33.647276,-86.812093,"Gardendale High School"
"AL","Hueytown",33.430701,-87.034282,"Hueytown High School"
"AL","McCalla",33.3308,-87.0011,"McAdory High School"
"AL","Kimberly",33.786302,-86.766115,"Mortimer Jordan High School"
"AL","Bessemer",33.469711,-87.159713,"Oak Grove High School"
"AL","Pinson",33.703553,-86.669316,"Pinson Valley High School"
"AL","Pleasant Grove",33.497501,-86.997203,"Pleasant Grove High School"
"AL","Irondale",33.5418,-86.6674,"Shades Valley High School"
"AL","Adamsville",33.5764,-86.9276,"Minor High School"
"AL","Vernon",33.7457,-88.1097,"Lamar County School Of Technology"
"AL","Lanett",32.8566,-85.1971,"Lanett Senior High School"
"AL","Killen",34.8606,-87.4426,"Allen Thornton Career Technical Center"
"AL","Killen",34.8579,-87.494,"Brooks High School"
"AL","Florence",34.896864,-87.796059,"Central High School"
"AL","Rogersville",34.828233,-87.290232,"Lauderdale County High School"
"AL","Lexington",34.967822,-87.374157,"Lexington High School"
"AL","Florence",34.962905,-87.522186,"Rogers High School"
"AL","Florence",34.926442,-87.670626,"Wilson High School"
"AL","Moulton",34.477356,-87.296446,"The Judy Jester Learning Center"
"AL","Town Creek",34.561365,-87.415366,"Hatton High School"
"AL","Moulton",34.475617,-87.298443,"Lawrence County High School"
"AL","Moulton",34.4767,-87.2967,"Lawrence County Career Technical Center"
"AL","Trinity",34.56667,-87.173644,"East Lawrence High School"
"AL","Trinity",34.56667,-87.173644,"Lawrence County Developmental"
"AL","Opelika",32.5496,-85.3727,"Beauregard High School"
"AL","Valley",32.7108,-85.1882,"Beulah High School"
"AL","Loachapoka",32.589056,-85.579499,"Loachapoka High School"
"AL","Smiths Station",32.521416,-85.080214,"Smiths Station High School"
"AL","Ardmore",34.9881,-86.8478,"Ardmore High School"
"AL","Athens",34.802,-87.1838,"Clements High School"
"AL","Athens",34.783,-86.8334,"East Limestone High School"
"AL","Tanner",34.7327,-86.9743,"Tanner High School"
"AL","Lester",34.9396,-87.1238,"West Limestone High School"
"AL","Athens",34.7768,-86.9621,"Limestone County Area Vocational Technology"
"AL","Elkmont",34.931313,-86.969672,"Elkmont High School"
"AL","Linden",32.309751,-87.797303,"Linden High School"
"AL","Letohatchee",32.058426,-86.55146,"Calhoun High School"
"AL","Hayneville",32.152554,-86.681471,"Central High School"
"AL","Hayneville",32.153319,-86.680962,"Lowndes County Career Technical Center"
"AL","Hayneville",32.153319,-86.680962,"Project Success Learning Center"
"AL","Tuskegee",32.4006,-85.7336,"Booker T Washington High"
"AL","Tuskegee Inst",32.430517,-85.719542,"Macon County Area Vocational School"
"AL","Gurley",34.7376,-86.432,"Madison County High School"
"AL","Hazel Green",34.9376,-86.5699,"Hazel Green High School"
"AL","New Hope",34.5403,-86.4038,"New Hope High School"
"AL","Harvest",34.8343,-86.7156,"Sparkman High School"
"AL","Huntsville",34.785501,-86.521407,"Madison County Career Technical Center"
"AL","New Market",34.8703,-86.4553,"Buckhorn High School"
"AL","Guin",33.97409,-87.915616,"Marion County High School"
"AL","Hackleburg",34.280192,-87.833809,"Hackleburg High School"
"AL","Hamilton",34.1395,-87.9905,"Hamilton High School"
"AL","Bear Creek",34.2793,-87.6974,"Phillips High School"
"AL","Hamilton",34.116154,-87.996594,"Marion County Alternative School"
"AL","Midfield",33.450742,-86.915913,"Midfield High School"
"AL","Midfield",33.450742,-86.915913,"Midfield Area Vocational Department"
"AL","Mobile",30.6072,-88.0735,"Ben C Rain High School"
"AL","Mobile",30.6695,-88.2517,"Baker High School"
"AL","Eight Mile",30.779186,-88.178953,"Mattie T Blount High School"
"AL","Citronelle",31.095114,-88.237389,"Citronelle High School"
"AL","Mobile",30.6628,-88.1465,"WP Davidson High School"
"AL","Semmes",30.7803,-88.2785,"Mary G Montenegro High School"
"AL","Mobile",30.6828,-88.0867,"Murphy High School"
"AL","Mobile",30.7142,-88.0865,"John L Leflore Magnet School"
"AL","Prichard",30.7432,-88.0807,"CF Vigor High School"
"AL","Mobile",30.669379,-88.074318,"Lillie B Williamson High School"
"AL","Irvington",30.4421,-88.2802,"Alma Bryant High School"
"AL","Prichard",30.7406,-88.0823,"TL Faulkner  School"
"AL","Irvington",30.5047,-88.209,"George H Bryant VocationalAgricultural Center"
"AL","Mobile",30.7021,-88.0819,"Continuous Learning Center"
"AL","Theodore",30.5446,-88.1857,"Theodore High School"
"AL","Mobile",30.628199,-88.085556,"Evening Educational Options"
"AL","Citronelle",31.093364,-88.235874,"Citronelle Center for Advanced Technology"
"AL","Monroeville",31.484,-87.3339,"Monroe County High School"
"AL","Monroeville",31.4839,-87.334598,"Monroe County Careertechnical Center"
"AL","Montgomery",32.34839,-86.355442,"Booker T Washington Magnet High School"
"AL","Montgomery",32.36091,-86.331981,"McIntyre Comprehensive Academy"
"AL","Montgomery",32.349264,-86.325149,"Carver Senior High School"
"AL","Montgomery",32.3432,-86.2626,"Jefferson Davis High School"
"AL","Montgomery",32.378702,-86.271649,"Lee High School"
"AL","Montgomery",32.3558,-86.3101,"Lanier Senior High School"
